"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENSEMBL","sig","dir","nlp","Contrast"
"3775",404.658823430063,0.04701930525104,0.13321181909849,0.352966467759713,0.724113579460173,0.841776825172685,"KCNK1","ENSG00000135750",FALSE,"NS",0.0748030349174875,"Interaction_KO:ZIKV"
"10778",549.039977259729,0.0414099549723403,0.117349317033085,0.352877681943946,0.724180143105097,0.841793626805766,"ZNF271P","ENSG00000293516",FALSE,"NS",0.0747943666060118,"Interaction_KO:ZIKV"
"64577",26.5247608629476,0.185451410086056,0.526199694693111,0.3524354193976,0.724511742971655,0.842038595454611,"ALDH8A1","ENSG00000118514",FALSE,"NS",0.0746680018390516,"Interaction_KO:ZIKV"
"100132832",80.0184106744777,-0.099660660172812,0.282870896179469,-0.3523185365439,0.724599388102918,0.842038595454611,"PMS2P9",NA,FALSE,"NS",0.0746680018390516,"Interaction_KO:ZIKV"
"79899",116.31981793683,0.079677812961613,0.226152649245348,0.352318724664473,0.724599247036964,0.842038595454611,"PRR5L","ENSG00000135362",FALSE,"NS",0.0746680018390516,"Interaction_KO:ZIKV"
"56651",23.1395377203277,-0.170524926761339,0.483920114949647,-0.352382390178352,0.72455150672182,0.842038595454611,"LINC00470",NA,FALSE,"NS",0.0746680018390516,"Interaction_KO:ZIKV"
"9794",1095.65199858536,-0.0311628451290103,0.0885082167533047,-0.352089854164266,0.724770877047274,0.842069248763807,"MAML1","ENSG00000161021",FALSE,"NS",0.0746521922065709,"Interaction_KO:ZIKV"
"107986852",35.5742339747148,-0.136657579012514,0.388108528488087,-0.352111765090234,0.724754445442966,0.842069248763807,"LOC107986852","ENSG00000304140",FALSE,"NS",0.0746521922065709,"Interaction_KO:ZIKV"
"91442",361.621948598873,0.0529322919354997,0.150343871231778,0.352074823548322,0.724782148991703,0.842069248763807,"FAAP24","ENSG00000131944",FALSE,"NS",0.0746521922065709,"Interaction_KO:ZIKV"
"7781",104.989772921627,-0.0849703439415127,0.241436173951764,-0.351937087764192,0.724885444283017,0.842103290079151,"SLC30A3","ENSG00000115194",FALSE,"NS",0.0746346358635338,"Interaction_KO:ZIKV"
"51260",850.854646764355,0.0385316418648116,0.109497014585339,0.35189673445189,0.724915708297677,0.842103290079151,"PBDC1","ENSG00000102390",FALSE,"NS",0.0746346358635338,"Interaction_KO:ZIKV"
"10016",1645.96274788109,-0.0290048250958202,0.0824601800396194,-0.351743412176451,0.72503070023849,0.842176309171825,"PDCD6","ENSG00000249915",FALSE,"NS",0.0745969796584052,"Interaction_KO:ZIKV"
