"GeneID","SYMBOL","ENSEMBL","ENTREZID","ZIKV_1","ZIKV_2","ZIKV_3","Control_1","Control_2","Control_3"
"ENSG00000121716","PILRB","ENSG00000121716","29990",758,551,671,382,986,511
"ENSG00000121741","ZMYM2","ENSG00000121741","7750",2027,2178,1465,2009,1715,1886
"ENSG00000121742","GJB6","ENSG00000121742","10804",1,1,0,0,0,2
"ENSG00000121743","GJA3","ENSG00000121743","2700",15,8,10,0,0,1
"ENSG00000121749","TBC1D15","ENSG00000121749","64786",774,932,517,949,1047,1142
"ENSG00000121753","ADGRB2","ENSG00000121753","576",592,785,620,1086,1590,1184
"ENSG00000121764","HCRTR1","ENSG00000121764","3061",14,18,9,6,2,3
"ENSG00000121766","ZCCHC17","ENSG00000121766","51538",182,287,124,325,414,495
"ENSG00000121769","FABP3","ENSG00000121769","2170",54,30,35,20,20,17
"ENSG00000121774","KHDRBS1","ENSG00000121774","10657",1849,2641,1661,6179,7609,6259
"ENSG00000121775","TMEM39B","ENSG00000121775","55116",264,413,250,373,297,362
"ENSG00000121797","CCRL2","ENSG00000121797","9034",1,3,0,0,0,0
"ENSG00000121807","CCR2","ENSG00000121807","729230",1,1,0,0,0,0
"ENSG00000121851","POLR3GL","ENSG00000121851","84265",100,168,60,163,228,190
"ENSG00000121853","GHSR","ENSG00000121853","2693",2,2,1,0,0,0
"ENSG00000121858","TNFSF10","ENSG00000121858","8743",11,47,19,23,15,32
"ENSG00000121864","ZNF639","ENSG00000121864","51193",650,1015,563,621,538,621
"ENSG00000121871","SLITRK3","ENSG00000121871","22865",13,7,3,0,1,0
"ENSG00000121879","PIK3CA","ENSG00000121879","5290",666,728,487,451,530,458
"ENSG00000121892","PDS5A","ENSG00000121892","23244",1392,1691,1200,3901,4038,4053
"ENSG00000121895","TMEM156","ENSG00000121895","80008",430,713,430,709,552,720
"ENSG00000121897","LIAS","ENSG00000121897","11019",248,253,199,184,262,323
"ENSG00000121898","CPXM2","ENSG00000121898","119587",0,0,1,1,1,0
"ENSG00000121900","TMEM54","ENSG00000121900","113452",197,374,186,589,927,558
"ENSG00000121903","ZSCAN20","ENSG00000121903","7579",332,321,272,102,138,123
"ENSG00000121904","CSMD2","ENSG00000121904","114784",25,9,4,1,1,3
"ENSG00000121905","HPCA","ENSG00000121905","3208",41,33,21,7,6,6
"ENSG00000121931","LRIF1","ENSG00000121931","55791",601,972,480,346,423,505
"ENSG00000121940","CLCC1","ENSG00000121940","23155",236,267,197,631,810,698
"ENSG00000121957","GPSM2","ENSG00000121957","29899",314,356,252,625,1041,769
"ENSG00000121964","QTMAN","ENSG00000121964","79712",470,493,358,349,309,316
"ENSG00000121966","CXCR4","ENSG00000121966","7852",191,428,246,40,12,18
"ENSG00000121988","ZRANB3","ENSG00000121988","84083",210,205,145,252,362,381
"ENSG00000121989","ACVR2A","ENSG00000121989","92",375,413,272,184,200,155
"ENSG00000122008","POLK","ENSG00000122008","51426",1039,960,801,630,648,733
"ENSG00000122025","FLT3","ENSG00000122025","2322",2,1,3,1,2,2
"ENSG00000122026","RPL21","ENSG00000122026","6144",1850,4655,1999,9233,12450,13322
"ENSG00000122033","MTIF3","ENSG00000122033","219402",188,251,169,341,267,406
"ENSG00000122034","GTF3A","ENSG00000122034","2971",706,1212,652,1374,1990,2151
"ENSG00000122035","RASL11A","ENSG00000122035","387496",162,261,146,45,40,61
"ENSG00000122042","UBL3","ENSG00000122042","5412",1463,1610,932,1151,863,797
"ENSG00000122068","FYTTD1","ENSG00000122068","84248",941,1327,841,1119,1138,1367
"ENSG00000122085","MTERF4","ENSG00000122085","130916",1129,1617,981,714,681,723
"ENSG00000122122","SASH3","ENSG00000122122","54440",16,3,4,0,1,0
"ENSG00000122126","OCRL","ENSG00000122126","4952",1431,1608,1211,2447,2545,2377
"ENSG00000122133","PAEP","ENSG00000122133","5047",6,5,6,0,0,1
"ENSG00000122136","OBP2A","ENSG00000122136","29991",2,1,2,0,0,0
"ENSG00000122140","MRPS2","ENSG00000122140","51116",499,1166,594,877,1718,1230
"ENSG00000122176","FMOD","ENSG00000122176","2331",4,3,0,5,7,0
"ENSG00000122180","MYOG","ENSG00000122180","4656",1,0,0,3,0,0
"ENSG00000122188","LAX1","ENSG00000122188","54900",14,0,5,1,3,0
"ENSG00000122194","PLG","ENSG00000122194","5340",11,21,10,0,2,0
"ENSG00000122203","KIAA1191","ENSG00000122203","57179",4338,6136,3666,2877,2594,3326
"ENSG00000122218","COPA","ENSG00000122218","1314",3804,4048,3411,6272,6707,6401
"ENSG00000122224","LY9","ENSG00000122224","4063",2,2,4,9,2,5
"ENSG00000122254","HS3ST2","ENSG00000122254","9956",0,1,0,0,0,0
"ENSG00000122257","RBBP6","ENSG00000122257","5930",4025,5104,3166,2518,2672,2360
"ENSG00000122299","ZC3H7A","ENSG00000122299","29066",1647,2232,1467,1469,1925,1514
"ENSG00000122335","SERAC1","ENSG00000122335","84947",198,244,128,324,322,303
"ENSG00000122359","ANXA11","ENSG00000122359","311",1440,1880,1254,7780,7282,7311
"ENSG00000122367","LDB3","ENSG00000122367","11155",33,16,18,18,14,14
"ENSG00000122375","OPN4","ENSG00000122375","94233",2,2,1,0,0,0
"ENSG00000122376","SHLD2","ENSG00000122376","54537",515,661,428,1183,1087,1343
"ENSG00000122378","PRXL2A","ENSG00000122378","84293",434,573,399,2627,3148,2386
"ENSG00000122386","ZNF205","ENSG00000122386","7755",694,1264,709,295,313,276
"ENSG00000122390","NAA60","ENSG00000122390","79903",2249,2922,1887,1368,1246,1302
"ENSG00000122406","RPL5","ENSG00000122406","6125",4381,9535,4489,15981,20494,21433
"ENSG00000122417","ODF2L","ENSG00000122417","57489",373,411,251,480,467,395
"ENSG00000122420","PTGFR","ENSG00000122420","5737",1,2,2,0,0,5
"ENSG00000122432","SPATA1","ENSG00000122432","100505741",80,185,104,10,19,4
"ENSG00000122435","TRMT13","ENSG00000122435","54482",1103,1299,884,212,336,300
"ENSG00000122477","LRRC39","ENSG00000122477","127495",177,134,130,14,13,4
"ENSG00000122481","RWDD3","ENSG00000122481","25950",70,126,64,91,67,67
"ENSG00000122482","ZNF644","ENSG00000122482","84146",1308,1566,1044,765,864,852
"ENSG00000122483","CCDC18","ENSG00000122483","343099",207,163,141,215,261,243
"ENSG00000122484","RPAP2","ENSG00000122484","79871",685,535,471,483,409,480
"ENSG00000122490","SLC66A2","ENSG00000122490","80148",341,478,279,636,913,653
"ENSG00000122507","BBS9","ENSG00000122507","27241",156,145,115,338,297,290
"ENSG00000122512","PMS2","ENSG00000122512","5395",261,269,237,534,665,654
"ENSG00000122515","ZMIZ2","ENSG00000122515","83637",1772,1704,1758,1772,1329,1453
"ENSG00000122543","OCM","ENSG00000122543","654231",9,5,7,1,0,0
"ENSG00000122545","SEPTIN7","ENSG00000122545","989",2302,3324,1942,4951,4676,5760
"ENSG00000122547","EEPD1","ENSG00000122547","80820",401,363,276,1314,903,696
"ENSG00000122550","KLHL7","ENSG00000122550","55975",406,594,308,849,1198,1001
"ENSG00000122557","HERPUD2","ENSG00000122557","64224",749,860,565,971,684,835
"ENSG00000122565","CBX3","ENSG00000122565","11335",2470,4526,2368,7041,10169,9062
"ENSG00000122566","HNRNPA2B1","ENSG00000122566","3181",13970,22388,14819,30382,46962,40888
"ENSG00000122574","WIPF3","ENSG00000122574","644150",127,147,94,93,69,93
"ENSG00000122584","NXPH1","ENSG00000122584","30010",4,5,0,1,0,0
"ENSG00000122585","NPY","ENSG00000122585","4852",1,3,0,0,4,0
"ENSG00000122591","HYCC1","ENSG00000122591","84668",1098,1250,788,737,765,779
"ENSG00000122592","HOXA7","ENSG00000122592","3204",54,47,46,45,26,41
